profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21133_1,25,52.96613026,3.346674474,1.2e+17,3.043606459,-6.417363214,08.09.2021 11:13,08.09.2021 11:34
21133_1,75,52.96064164,3.336514273,2.78e+17,2.306705139,-7.116321515,08.09.2021 11:13,08.09.2021 11:34
21133_1,125,52.97567281,3.370870938,1.16e+17,4.041220055,-5.060933398,08.09.2021 11:13,08.09.2021 11:34
21133_1,175,52.9830175,3.35904375,5.87e+16,5.906867684,-5.819868904,08.09.2021 11:13,08.09.2021 11:34
21133_1,225,52.97429231,3.349898077,2.86e+16,3.853130911,-7.474273224,08.09.2021 11:13,08.09.2021 11:34
21133_1,275,52.98334953,3.37232,4.07e+16,6.111468941,-4.830822678,08.09.2021 11:13,08.09.2021 11:34
21133_1,325,52.98844531,3.354110816,5550000000000000.0,6.706395956,-6.74962044,08.09.2021 11:13,08.09.2021 11:34
21133_1,375,52.98398385,3.369259231,1.56e+16,5.370614026,-4.664139317,08.09.2021 11:13,08.09.2021 11:34
21133_1,425,52.99847881,3.372603095,-3.71e+16,7.79989556,-4.228848151,08.09.2021 11:13,08.09.2021 11:34
21133_1,475,52.99472229,3.350679429,-3.6e+16,6.830937357,-7.525671396,08.09.2021 11:13,08.09.2021 11:34
21133_1,525,52.98604094,3.361765,-1.64e+16,4.668596499,-4.295974277,08.09.2021 11:13,08.09.2021 11:34
21133_1,575,52.9920929,3.380301935,9710000000000000.0,6.436751828,-2.820300576,08.09.2021 11:13,08.09.2021 11:34
21133_1,625,53.00473767,3.372671333,3.52e+16,8.006134768,-4.138438316,08.09.2021 11:13,08.09.2021 11:34
21133_1,675,52.99852971,3.355590571,2.51e+16,6.468468238,-7.191270582,08.09.2021 11:13,08.09.2021 11:34
21133_1,725,52.99396719,3.373125938,1.96e+16,4.579590004,-3.541558224,08.09.2021 11:13,08.09.2021 11:34
21133_1,775,53.00681568,3.389541892,3.07e+16,6.253277707,-3.424635649,08.09.2021 11:13,08.09.2021 11:34
21133_1,825,53.02372909,3.376229318,-1310000000000000.0,7.943627647,-4.817726521,08.09.2021 11:13,08.09.2021 11:34
21133_1,875,53.01579972,3.356558056,3.62e+16,5.63643102,-7.901790218,08.09.2021 11:13,08.09.2021 11:34
21133_1,925,53.00973395,3.377029535,3.81e+16,4.157930585,-4.559128572,08.09.2021 11:13,08.09.2021 11:34
21133_1,975,53.022675,3.39226,2.89e+16,5.712629042,-3.914650284,08.09.2021 11:13,08.09.2021 11:34
21133_1,1025,53.02841432,3.372435676,3.09e+16,6.625263968,-6.406019683,08.09.2021 11:13,08.09.2021 11:34
21133_1,1075,53.01796898,3.378722041,1.1e+16,3.524205117,-5.771803207,08.09.2021 11:13,08.09.2021 11:34
21133_1,1125,53.02437414,3.400607931,-2040000000000000.0,5.370473461,-3.492571077,08.09.2021 11:13,08.09.2021 11:34
21133_1,1175,53.02975643,3.383224286,1.94e+16,6.206788834,-6.743904603,08.09.2021 11:13,08.09.2021 11:34
21133_1,1225,53.02557438,3.390485417,3.64e+16,2.453715372,-5.496584426,08.09.2021 11:13,08.09.2021 11:34
21133_1,1275,53.03361812,3.38279875,1.99e+16,5.692562094,-6.323830527,08.09.2021 11:13,08.09.2021 11:34
21133_1,1325,53.0244671,3.388273226,3.15e+16,2.2091165,-8.377121041,08.09.2021 11:13,08.09.2021 11:34
21133_1,1375,53.03386073,3.392613902,7960000000000000.0,4.104319877,-5.663798643,08.09.2021 11:13,08.09.2021 11:34
21133_1,1425,53.02962533,3.378988667,1670000000000000.0,2.905497405,-9.939932198,08.09.2021 11:13,08.09.2021 11:34
21133_1,1475,,,,,,08.09.2021 11:13,08.09.2021 11:34
