mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],ste
25,52.68784826666667,3.5721461977777773,1.9193333333333334e+17,-0.015961264000000024,-3.0774366030000007,3.0059459594462292e+16
75,52.736392932,3.6688400116000004,9.277e+16,-0.13276127640000013,-3.1685934366999993,2.724798076106843e+16
125,52.738087266,3.6642295575999997,2.89191e+16,0.6733317932,-2.4857539771,1.1962785114633168e+16
175,52.744941841,3.6682104107,2.2719e+16,1.8499478711000001,-2.7702792325,1.0679151282340328e+16
225,52.74241919,3.6714778895,1.7226e+16,0.7160998289999998,-2.8327698932999996,6614428874312077.0
275,52.74455464399999,3.6733062403999996,1.6557e+16,1.8124546176000003,-2.5357517805,8756961681364654.0
325,52.744127375000005,3.671094172,4452000000000000.0,2.1023497993999998,-2.6104379589,6189270608615093.0
375,52.745969511,3.6741749903000005,7300000000000000.0,1.8867252357000002,-2.2423742290999997,5435186800428809.0
425,52.74901098299999,3.6769488575999993,9769000000000000.0,2.0585133501,-2.2572301232000003,8445795331274477.0
475,52.74910439099999,3.6747503650999995,3502000000000000.0,1.4612990548,-2.5350358432,7941255959999162.0
525,52.74722793000001,3.6762687209999996,8820000000000000.0,1.2083404930000001,-1.7943755491000004,6201340356908514.0
575,52.74982037599999,3.6810964739999994,7187000000000000.0,2.0458452510000003,-1.0380944554,8112311637943349.0
625,52.750532703,3.6766659484999997,1.9439e+16,2.0213570181000002,-2.4081622946,4558484263192950.0
675,52.748743314,3.6757206049000004,1.6584e+16,1.0677514195000002,-2.2449778971999996,6798751552062089.0
725,52.74918206700001,3.6782091196000004,7714000000000000.0,1.3740025442000001,-1.4247373416999998,5324512956339032.0
775,52.753174301,3.6832965560000006,2762000000000000.0,2.1307455114,-1.1440055529,6865000574573093.0
825,52.756821208,3.6833530599,3325000000000000.0,2.4762311989,-1.8089684928000005,5459917836174623.0
875,52.756729568000004,3.6814670227,6904000000000000.0,1.6161763143999999,-2.496697696699999,8450053017585155.0
925,52.75329452100001,3.6812305174000004,1.8637e+16,0.7767476607000001,-2.5990467992,6891394964414358.0
975,52.754475013000004,3.6835865971999993,1.5954e+16,0.6269445738,-2.1110029118,5023900476721250.0
1025,52.75728457500001,3.6800499109,1.2049e+16,2.0038539912,-2.3595316982,9200102952322508.0
1075,52.758532509999995,3.684111104899999,5514000000000000.0,1.8859223516,-1.8180435425999995,5752376166033958.0
1125,52.762076333,3.6877427371,-4547000000000000.0,2.1291269263,-1.8629021181999998,6311501502988193.0
1175,52.76162253700001,3.6822408257,7897100000000000.0,1.3407264104,-2.6165090413999996,6527146523813705.0
1225,52.75699901099999,3.6800237962000004,1.01343e+16,-0.3247061205,-2.3691168202999995,6079214682561117.0
1275,52.75812676099999,3.6822604526,1566900000000000.0,0.6854245975999999,-1.1855066120999995,6267164739869750.0
1325,52.76079978199999,3.6854199959,6362000000000000.0,1.5476207216,-1.3538056076000002,6106363675161619.0
1375,52.764455739000006,3.6856189341000003,6415000000000000.0,1.8727031623000001,-1.3505176359,7630580908423683.0
1425,52.62516820374999,3.433786697375,1.77025e+16,1.6894888263749999,-2.2211650064999997,9779838362307280.0
1475,51.9292425,2.7632225,-2.58e+16,6.559905685,-3.703071134,
